,Country,Population,Yearly_Change,Net Change,Density_per_Km2,Land_Area_km,Migrants (net),Fert_Rate,Med_Age,Urban_Pop_Pct,World_Share
0,China,1438207241,0.39,5540090,153,9388211,-348399.0,1.7,1.7,61,18.47
1,India,1377233523,0.99,13586631,464,2973190,-532687.0,2.2,2.2,35,17.7
2,United States,330610570,0.59,1937734,36,9147420,954806.0,1.8,1.8,83,4.25
3,Indonesia,272931713,1.07,2898047,151,1811570,-98955.0,2.3,2.3,56,3.51
4,Pakistan,219992900,2.0,4327022,287,770880,-233379.0,3.6,3.6,35,2.83
5,Brazil,212253150,0.72,1509890,25,8358140,21200.0,1.7,1.7,88,2.73
6,Nigeria,205052107,2.58,5175990,226,910770,-60000.0,5.4,5.4,52,2.64
7,Bangladesh,164354176,1.01,1643222,1265,130170,-369501.0,2.1,2.1,39,2.11
8,Russia,145922010,0.04,62206,9,16376870,182456.0,1.8,1.8,74,1.87
9,Mexico,128655589,1.06,1357224,66,1943950,-60000.0,2.1,2.1,84,1.65
10,Japan,126552765,-0.3,-383840,347,364555,71560.0,1.4,1.4,92,1.62
11,Ethiopia,114357494,2.57,2884858,115,1000000,30000.0,4.3,4.3,21,1.47
12,Philippines,109280343,1.35,1464463,368,298170,-67152.0,2.6,2.6,47,1.41
13,Egypt,101930276,1.94,1946331,103,995450,-38033.0,3.3,3.3,43,1.31
14,Vietnam,97160127,0.91,876473,314,310070,-80000.0,2.1,2.1,38,1.25
15,DR Congo,88972681,3.19,2770836,40,2267050,23861.0,6.0,6.0,46,1.15
16,Turkey,84153250,1.09,909452,110,769630,283922.0,2.1,2.1,76,1.08
17,Iran,83771587,1.3,1079043,52,1628550,-55000.0,2.2,2.2,76,1.08
18,Germany,83730223,0.32,266897,240,348560,543822.0,1.6,1.6,76,1.07
19,Thailand,69764925,0.25,174396,137,510890,19444.0,1.5,1.5,51,0.9
20,United Kingdom,67814098,0.53,355839,281,241930,260650.0,1.8,1.8,83,0.87
21,France,65244628,0.22,143783,119,547557,36527.0,1.9,1.9,82,0.84
22,Italy,60479424,-0.15,-88249,206,294140,148943.0,1.3,1.3,69,0.78
23,Tanzania,59368313,2.98,1728755,67,885800,-40076.0,4.9,4.9,37,0.77
24,South Africa,59154802,1.28,750420,49,1213090,145405.0,2.4,2.4,67,0.76
25,Myanmar,54335948,0.67,364380,83,653290,-163313.0,2.2,2.2,31,0.7
26,Kenya,53521116,2.28,1197323,94,569140,-10000.0,3.5,3.5,28,0.69
27,South Korea,51260395,0.09,43877,527,97230,11731.0,1.1,1.1,82,0.66
28,Colombia,50771878,1.08,543448,46,1109500,204796.0,1.8,1.8,80,0.65
29,Spain,46751175,0.04,18002,94,498800,40000.0,1.3,1.3,80,0.6
30,Uganda,45427637,3.32,1471413,229,199810,168694.0,5.0,5.0,26,0.59
31,Argentina,45111229,0.93,415097,17,2736690,4800.0,2.3,2.3,93,0.58
32,Algeria,43685618,1.85,797990,18,2381740,-10000.0,3.1,3.1,73,0.56
33,Sudan,43632213,2.42,1036022,25,1765048,-50000.0,4.4,4.4,35,0.56
34,Ukraine,43785122,-0.59,-259876,75,579320,10000.0,1.4,1.4,69,0.56
